channel,callsign,freq,band,dist,bearing,left_open_bearing,right_open_bearing,rx,antenna,radio,power
200,N2JDW,147.15,2m,1.6,45,120,300,0,Survival,FT60R,5w
201,K2CSX,145.67,2m,1.7,45,120,300,0,Survival,FT60R,5w
202,K2CSX,438.1,2m,1.7,45,120,300,0,Survival,FT60R,5w
203,N2OFY,445.775,70cm,1.8,90,120,300,11,Survival,FT60R,5w
204,KB2OOJ,447.425,70cm,1.8,270,120,300,11,Survival,FT60R,5w
205,KD2SPF,440.35,70cm,2,90,120,300,0,Survival,FT60R,5w
206,KD2SPF,440.35,70cm,2,90,120,300,0,Survival,FT60R,5w
207,KD2SPF,440.35,70cm,2,90,120,300,0,Survival,FT60R,5w
208,KD2SPF,440.35,70cm,2,90,120,300,0,Survival,FT60R,5w
209,N2YN,443.65,70cm,2.2,180,120,300,11,Survival,FT60R,5w
210,N2ION,444.05,70cm,2.2,180,120,300,11,Survival,FT60R,5w
211,W2MPX,145.45,2m,2.2,0,120,300,11,Survival,FT60R,5w
212,W2MPX,443.95,70cm,2.2,0,120,300,0,Survival,FT60R,5w
213,WA3SSG,146.805,2m,4.2,180,120,300,0,Survival,FT60R,5w
214,WA3SSG,442.45,70cm,4.2,180,120,300,0,Survival,FT60R,5w
215,N2NSA,443.3,70cm,4.1,45,120,300,8,Survival,FT60R,5w
216,W2CMA,145.23,2m,5,45,120,300,11,Survival,FT60R,5w
217,N2YN,442.75,70cm,5,45,120,300,8,Survival,FT60R,5w
218,N2HBA,447.625,70cm,5,45,120,300,11,Survival,FT60R,5w
219,KD2HLF,441.85,70cm,5.1,315,120,300,0,Survival,FT60R,5w
220,W2ABC,147.27,2m,6,180,120,300,0,Survival,FT60R,5w
221,N2BUS,449.625,70cm,6.6,180,120,300,11,Survival,FT60R,5w
222,KB2EA,447.725,70cm,19.6,225,120,300,0,Survival,FT60R,5w
223,WB2ZSE,147,2m,6.8,180,120,300,0,Survival,FT60R,5w
224,N2BEI,147.195,2m,6.8,180,120,300,0,Survival,FT60R,5w
225,NY4Z,440.6,70cm,6.8,180,120,300,11,Survival,FT60R,5w
226,N2JDW,449.025,70cm,6.8,180,120,300,2.5,Survival,FT60R,5w
227,WB2ZSE,449.8,70cm,6.8,180,120,300,11,Survival,FT60R,5w
228,W2YRC,146.865,2m,8.1,0,120,300,3.5,Survival,FT60R,5w
229,K2JQB,146.91,2m,8.1,0,120,300,0,Survival,FT60R,5w
230,W2YRC,440.15,70cm,8.1,0,120,300,5,Survival,FT60R,5w
231,N2QNB,445.425,70cm,8.1,0,120,300,0,Survival,FT60R,5w
232,K2UQT,145.495,2m,8.7,45,120,300,0,Survival,FT60R,5w
233,KC2JES,441.25,70cm,8.9,270,120,300,5,Survival,FT60R,5w
234,NY4Z,440.625,70cm,9.2,225,120,300,0,Survival,FT60R,5w
235,N2DCS,441.2,70cm,9.2,180,120,300,0,Survival,FT60R,5w
236,K2ETN,146.955,2m,9.3,0,120,300,0,Survival,FT60R,5w
237,W2MR,442.7,70cm,9.3,0,120,300,11,Survival,FT60R,5w
238,K2FJ,442.9,70cm,9.3,0,120,300,0,Survival,FT60R,5w
239,WB2ZZO,444.2,70cm,9.3,0,120,300,0,Survival,FT60R,5w
240,NB2A,146.745,2m,9.8,180,120,300,0,Survival,FT60R,5w
241,KC2RA,146.43,2m,10.7,180,120,300,0,Survival,FT60R,5w
242,W2AKR,146.79,2m,10.6,0,120,300,0,Survival,FT60R,5w
243,W2AKR,444.1,70cm,10.6,0,120,300,4,Survival,FT60R,5w
244,N2ROW,441.1,70cm,10.7,180,120,300,0,Survival,FT60R,5w
245,N2SMI,441.75,70cm,10.7,270,120,300,0,Survival,FT60R,5w
246,N2YGI,145.085,2m,10.8,45,120,300,0,Survival,FT60R,5w
247,KA2MRK,441.95,70cm,10.7,315,120,300,0,Survival,FT60R,5w
248,NY4Z,446.725,70cm,10.9,45,120,300,0,Survival,FT60R,5w
249,N2DMJ,145.12,2m,11.5,270,120,300,0,Survival,FT60R,5w
250,KC2RC,146.73,2m,11.9,180,120,300,0,Survival,FT60R,5w
251,N2UOL,446.175,70cm,11.9,180,120,300,0,Survival,FT60R,5w
252,WA2JNF,446.675,70cm,11.9,180,120,300,2.5,Survival,FT60R,5w
253,K2RMX,446.825,70cm,11.9,180,120,300,0,Survival,FT60R,5w
254,KB2NGU,448.375,70cm,11.9,180,120,300,0,Survival,FT60R,5w
255,WB2JNQ,449.825,70cm,11.9,180,120,300,0,Survival,FT60R,5w
256,W2JDS,145.35,2m,12,225,120,300,0,Survival,FT60R,5w
257,NJ2PC,146.61,2m,12.7,270,120,300,0,Survival,FT60R,5w
258,W2FWG,146.67,2m,12.9,135,120,300,0,Survival,FT60R,5w
259,WB2QBP,442.65,70cm,12.9,135,120,300,11,Survival,FT60R,5w
260,K2MFF,147.225,2m,12.9,225,120,300,6,Survival,FT60R,5w
261,WB2MFC,147.285,2m,12.9,225,120,300,5,Survival,FT60R,5w
262,W2CTL,446.625,70cm,13.5,225,120,300,0,Survival,FT60R,5w
263,W2ODV,145.43,2m,13.5,225,120,300,3,Survival,FT60R,5w
264,WA2EMR,145.41,2m,13.7,90,120,300,0,Survival,FT60R,5w
265,W2VL,146.85,2m,13.7,90,120,300,8,Survival,FT60R,5w
266,WA2EMR,445.375,70cm,13.7,90,120,300,0,Survival,FT60R,5w
267,WB2WAK,447.025,70cm,13.7,90,120,300,0,Survival,FT60R,5w
268,K2UTB,442.85,70cm,13.9,0,120,300,0,Survival,FT60R,5w
270,KD2KWT,444.8,70cm,15.6,315,120,300,0,Survival,FT60R,5w
271,K2EAR,145.35,2m,15.9,135,120,300,0,Survival,FT60R,5w
272,N2MH,442.6,70cm,16.2,270,120,300,0,Survival,FT60R,5w
273,WB2IIQ,444.65,70cm,16.8,135,120,300,0,Survival,FT60R,5w
274,NJ2BS,146.835,2m,16.7,0,120,300,5,Survival,FT60R,5w
275,N2NSS,446.125,70cm,16.8,270,120,300,0,Survival,FT60R,5w
276,W2MCC,440.4,70cm,17.3,225,120,300,0,Survival,FT60R,5w
277,K2ETS,443.15,70cm,17.3,225,120,300,0,Survival,FT60R,5w
278,W2JDS,145.41,2m,17.3,225,120,300,0,Survival,FT60R,5w
279,N2YXZ,445.975,70cm,17.4,90,120,300,0,Survival,FT60R,5w
280,WB2CMN,442.4,70cm,17.7,270,120,300,0,Survival,FT60R,5w
281,NY4Z,446.275,70cm,17.7,45,120,300,0,Survival,FT60R,5w
282,N2XPM,445.525,70cm,18.3,135,120,300,0,Survival,FT60R,5w
283,W2FCC,446.375,70cm,18.3,225,120,300,0,Survival,FT60R,5w
284,WB2RRA,147.165,2m,18.6,0,120,300,6,Survival,FT60R,5w
285,N2ACF,443.85,70cm,18.6,0,120,300,5,Survival,FT60R,5w
286,WR2I,449.425,70cm,18.6,0,120,300,0,Survival,FT60R,5w
287,WR2I,443.35,70cm,18.7,0,120,300,0,Survival,FT60R,5w
288,NE2S,146.595,2m,18.7,270,120,300,0,Survival,FT60R,5w
289,K2GCL,443.1,70cm,18.8,315,120,300,4,Survival,FT60R,5w
290,K2XD,440.65,70cm,18.8,135,120,300,0,Survival,FT60R,5w
291,KB2AZY,449.675,70cm,19.3,135,120,300,0,Survival,FT60R,5w
292,KB2YHS,444.55,70cm,19.4,135,120,300,0,Survival,FT60R,5w
293,N2EHN,445.575,70cm,19.4,225,120,300,0,Survival,FT60R,5w
